data source,Variables
2D_1h_1deg,"['a_ice', 'evap', 'fh', 'sss', 'sst']"
2D_1h_native,"['a_ice', 'evap', 'fh', 'sss', 'sst']"
2D_daily_0.25deg,"['MLD1', 'MLD2', 'atmice_x', 'atmice_y', 'atmoce_x', 'atmoce_y', 'fw', 'm_ice', 'm_snow', 'prec', 'ssh', 'uice', 'vice']"
2D_daily_1deg,"['MLD1', 'MLD2', 'atmice_x', 'atmice_y', 'atmoce_x', 'atmoce_y', 'fw', 'm_ice', 'm_snow', 'prec', 'ssh', 'uice', 'vice']"
2D_daily_native,"['MLD1', 'MLD2', 'atmice_x', 'atmice_y', 'atmoce_x', 'atmoce_y', 'fw', 'm_ice', 'm_snow', 'prec', 'ssh', 'uice', 'vice']"
2D_monthly_0.25deg,"['runoff', 'tx_sur', 'ty_sur']"
2D_monthly_1deg,"['runoff', 'tx_sur', 'ty_sur']"
2D_monthly_native,"['runoff', 'tx_sur', 'ty_sur']"
3D_1h_native_zarr,"['salt_upper', 'temp_upper', 'u_upper', 'v_upper', 'w_upper']"
3D_3h_native,"['salt_upper', 'temp_upper', 'u_upper', 'v_upper', 'w_upper']"
3D_daily_native,"['Av', 'Kv', 'salt', 'temp', 'u', 'v', 'w']"
3D_daily_native_zarr,"['salt', 'temp', 'u', 'v', 'w']"
3D_monthly_0.25deg,"['salt', 'temp', 'u', 'v', 'w']"
3D_monthly_1deg,"['salt', 'temp', 'u', 'v', 'w']"
elem_grid,"['grid_center_lon', 'grid_corner_lon', 'grid_center_lat', 'grid_corner_lat', 'grid_dims', 'grid_imask', 'cell_area', 'node_node_links', 'triag_nodes', 'coast']"
node_grid,"['grid_center_lon', 'grid_corner_lon', 'grid_center_lat', 'grid_corner_lat', 'grid_dims', 'grid_imask', 'cell_area', 'node_node_links', 'triag_nodes', 'coast', 'depth', 'depth_bnds', 'depth_lev']"
